label,B,G,R,rededge,NIR,GIgreen,CIre,DVI,EVI,ExG,GBNDVI,GNDVI,MEVI,MSR,MTCI,MTVI2,NDVI,NDRE,NGRDI,NIRRENDVI,NPCI,PSRI,REDVI,RENDVI,RERVI,RGRI,RVI,TCVI,SARE,SAVI,LCI,OSAVI
0,0.069935061,0.274192634,0.142293325,0.435408658,0.393354485,0.434591733,-0.096585523,0.251061161,0.364363383,0.691082145,0.066749803,0.178507027,-0.053933261,-0.070007626,-0.143473125,-0.226914949,0.468705661,-0.050743295,0.316695692,0.488774056,0.340945266,0.183951795,-0.042054173,0.50738156,0.903414477,0.518953857,2.764391698,0.748928811,0.211016305,0.569559423,-0.078510865,0.360902682
0,0.112959032,0.249209338,0.061703394,0.466934677,0.549254552,1.20398865,0.176298483,0.487551158,1.136713754,0.763807067,0.205268243,0.375778063,0.082923807,0.1195059,0.203142942,-0.151684595,0.798010994,0.081008411,0.60308223,0.783420113,-0.293455435,-0.09331855,0.082319875,0.76655713,1.176298483,0.247596638,8.901528997,-2.972610064,0.31501388,0.816289167,0.13473902,0.632396566
0,0.143983677,0.25814843,0.082127464,0.415159854,0.470614046,0.82303664,0.133573109,0.388486583,1.099281358,0.5992359,0.078467191,0.291543024,0.06844642,0.091446117,0.16651291,-0.119928936,0.702835911,0.062605358,0.517288969,0.687142061,-0.273565526,-0.131437244,0.055454193,0.669698137,1.133573109,0.318140473,5.730288325,-9.548267491,0.298825028,0.733949787,0.100325725,0.545059572
0,0.159295402,0.258824485,0.085861809,0.479874095,0.584671262,1.258948804,0.218384714,0.498809452,1.377733928,0.540677888,0.166087798,0.38630518,0.103852846,0.146623575,0.265974364,-0.130144029,0.743899852,0.098443121,0.501797369,0.722190523,-0.299536743,-0.125598088,0.104797167,0.696459748,1.218384714,0.331737584,6.809444916,36.1254326,0.329721226,0.791870214,0.156289334,0.600589512
0,0.204583131,0.404107653,0.197821889,0.557512919,0.516861768,0.279019995,-0.072915173,0.319039879,0.682047473,0.503166657,-0.08158572,0.122429814,-0.055500031,-0.052525173,-0.11301686,-0.197833333,0.446407128,-0.037837033,0.342707492,0.461715907,-0.016802081,-0.013081334,-0.040651151,0.476200786,0.927084827,0.489527699,2.61276328,1.073813397,0.2193054,0.580719689,-0.056879922,0.364748874
0,0.136915595,0.184489923,0.035572828,0.421127247,0.556498734,2.016418056,0.321450317,0.520925906,1.752616812,0.550429529,0.267789131,0.502043868,0.125363109,0.210976538,0.351108639,-0.121082614,0.879836053,0.138469609,0.676702869,0.864325744,-0.587533733,-0.182107812,0.135371487,0.844217989,1.321450317,0.192817187,15.64392728,-22.12630462,0.360270953,0.868624271,0.228640414,0.692654705
0,0.27311715,0.396687916,0.256406217,0.538750321,0.484884476,0.222332358,-0.099982947,0.22847826,0.585875853,0.28487287,-0.160147454,0.100044603,-0.077294526,-0.072534928,-0.190780838,-0.201476069,0.30821682,-0.052622132,0.214795529,0.33246984,-0.031558444,-0.034463742,-0.053865845,0.355079901,0.900017053,0.6463676,1.891079253,1.554000344,0.207706993,0.48048563,-0.072664942,0.253501186
0,0.226013026,0.364551611,0.218134352,0.512810185,0.48050917,0.318082694,-0.062988249,0.262374817,0.599457595,0.352363299,-0.102752459,0.13721801,-0.044290845,-0.045257797,-0.109615421,-0.190604438,0.375548916,-0.032518258,0.25127988,0.389658158,-0.017738873,-0.016396511,-0.032301016,0.403143902,0.937011751,0.59836343,2.202812919,-1.120320995,0.224020339,0.526578937,-0.046233901,0.305568971
0,0.22702158,0.393588529,0.212495871,0.525343917,0.501032692,0.272986014,-0.04627678,0.288536821,0.67204984,0.417305379,-0.106609177,0.120100173,-0.035726955,-0.033107898,-0.07770937,-0.16330433,0.404380198,-0.023686456,0.298791155,0.41435716,-0.03304922,-0.028991539,-0.024311225,0.424005389,0.95372322,0.539893456,2.35784672,1.796469999,0.230952938,0.549458503,-0.034071831,0.330311834
0,0.115042088,0.234359348,0.157942853,0.364287469,0.341426279,0.456849415,-0.062755906,0.183483426,0.321614625,0.385800648,-0.011544349,0.185949294,-0.032299744,-0.045088151,-0.110791309,-0.181869842,0.367430452,-0.032394423,0.19478987,0.381585992,0.157154331,0.125651622,-0.02286119,0.395121859,0.937244094,0.673934514,2.161707681,0.477732663,0.226079459,0.494850525,-0.045780142,0.278271179
